propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,neighborhood,newDevelopmentFinished,snapshotDate,formerPrice,priceChange,isPriceLowered,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,totalPrice
33829652,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/77/44/8e/267567483.webp,KWPT-009130,33,1,2475.0,flat,rent,179.0,3,3,São Sebastião da Pedreira,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7334294,-9.1450031,False,https://www.idealista.pt/imovel/33829652/,439.0,"Um apartamento nas Avenidas Novas? Conte-me mais! Este apartamento T3+1 está localizado na Rua de Picoas, numa das zonas mais dinâmicas e procuradas de Lisboa, as Avenidas Novas. A área oferece fácil acesso a transportes públicos, comércio variado, restaurantes e espaços de lazer, tudo a uma curta distância. E o apartamento como é? O imóvel, com 178,91 m² de área bruta, oferece um amplo espaço e conforto. Conta com 3 casas de banho completas e uma cozinha equipada com os principais eletrodomésticos (fogão, forno, exaustor e esquentador). A cozinha cria um ambiente ideal para momentos de convívio. Mais alguma coisa que deva saber? A luminosidade natural é uma característica marcante, proporcionando conforto e bem-estar. O apartamento, com um layout funcional e acabamentos modernos, promete ser a escolha perfeita para quem procura qualidade de vida e localização privilegiada. Estou convencido, como posso visitar? Para marcar a sua visita entre em contacto connosco! Licença de utilização: 131.",False,good,False,True,13.8268156424581,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento'}",True,False,False,False,False,False,,False,2025-01-13,2475.0,0.0,False,False,False,0.0,2475.0
33596155,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/46/5d/7a/254939879.webp,KWPT-004534,33,bj,2150.0,flat,rent,170.0,3,3,rua das Picoas,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7339083,-9.1445309,False,https://www.idealista.pt/imovel/33596155/,373.0,"Um apartamento para arrendar? Conte-me mais! Este fantástico apartamento localiza-se nas Avenidas Novas e oferece todo o conforto e espaço que procura. Trata-se de um T3+1 (incluindo um quarto de empregada com WC) totalmente remodelado, com uma generosa área bruta de 169,79 m².  E quanto às divisões? O apartamento dispõe de uma cozinha ampla e funcional, equipada com fogão, exaustor, forno e esquentador. Além disso, conta com uma sala espaçosa e três casas de banho bem equipadas, garantindo conforto e praticidade para o dia a dia. Os três quartos, com excelente iluminação natural, proporcionam ambientes acolhedores e confortáveis.  E a área envolvente?   A localização nas Avenidas Novas é imbatível, oferecendo acesso a uma ampla gama de serviços e comodidades. A poucos passos, encontrará restaurantes, supermercados, parques, lojas e comércio local. A zona é também bem servida de transportes públicos, permitindo fácil acesso a todas as áreas da cidade.  Parece-me interessante! Quando poderei visitar? Quando desejar!  Contacte-nos para agendar a sua visita e descobrir este incrível apartamento!  Licença de utilização: 131.",True,good,False,True,12.647058823529411,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Apartamento na rua das Picoas'}",True,False,False,False,False,False,,False,2025-01-13,2150.0,0.0,False,False,False,0.0,2150.0
33896876,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/84/77/bf/271084423.webp,Match_01.216,21,8,1950.0,flat,rent,135.0,2,2,"rua Jorge Castilho, 8",Lisboa,Areeiro,Casal Vistoso,pt,38.7401735,-9.1282332,True,https://www.idealista.pt/imovel/33896876/,1303.0,"Apartamento T2 Com Varanda e Estacionamento Localizado no Areeiro e inserido no oitavo andar de um prédio em excelente estado encontramos este fantástico apartamento com 2 quartos (um em suíte), 2 casas de banho, cozinha totalmente equipada, sala de estar e sala de Jantar. Ar condicionado | 1 Lugar de Estacionamento | Elevador | Varanda Localizado numa zona central e tranquila, a poucos minutos do Parque da Bela Vista, com excelentes acessos à 2a circular a 5 minutos do Aeoroporto de Lisboa e da Universidade do Técnico.  - aceita animais de estimação - entrada imediata  - 2 rendas + 1 mês de fiança - hipótesse de arrendar mobilado  Contate-nos para marcar visitas.",False,good,False,True,14.444444444444445,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Apartamento na rua Jorge Castilho, 8'}",True,False,False,False,False,False,,False,2025-01-13,1950.0,0.0,False,True,True,0.0,1950.0
31196503,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/66/be/d0/146815576.webp,CF119,9,1,700.0,studio,rent,25.0,0,1,beco dos Paus,Lisboa,Santa Maria Maior,Alfama - Sé,pt,38.7128574,-9.1251074,False,https://www.idealista.pt/imovel/31196503/,3082.0,"Excelente apartamento T0, disponível com todo o equipamento de cozinha, utensílios, mobília e Wifi, pronto a habitar e em fantástica localização na zona de Alfama muito próximo a Santa Apolónia. A escassos minutos a pé do Eléctrico 28/Castelo, Rio Tejo e comércio e serviços. Venha disfrutar da centralidade e comodidade deste apartamento. Contacte Já! Wifi+Tv Cabo Incluídos, Equipamento de Cozinha + Mobilado. Condições: Contrato de 6 meses a 1 ano renovável, 1 Mês Caução + 1 Mês de Renda Adiantada.",False,good,False,False,28.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'T0 no beco dos Paus'}",False,False,False,False,False,False,,False,2025-01-13,700.0,0.0,False,False,False,0.0,700.0
33896540,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/99/60/35/271073093.webp,,24,1,3000.0,flat,rent,130.0,2,3,"rua Sousa Pinto, 11",Lisboa,Santo António,Rato - Amoreiras,pt,38.7234689,-9.1581146,True,https://www.idealista.pt/imovel/33896540/,2009.0,"AMOREIRAS Apartamento T2 de construção recente (2020), inserido em Empreendimento de Luxo 'Amoreiras Vista' O apartamento tem uma excelente varanda (18 m2), tem excelentes acabamentos e boas generosas. Ar Condicionado, Janelas de grande qualidade com vidros duplos, porta blindada, cozinha totalmente equipada, roupeiros, etc. Fazem parte do imóvel 2 lugares de garagem e 1 arrecadação. Composto por ampla Sala com acesso à generosa Varanda, Cozinha totalmente equipada, 2 Suites e um Wc Social. O Amoreiras Vista, situado poucos metros do Centro Comercial das Amoreiras (350m) e muito próximo da Praça Marquês de Pombal e da Avenida da Liberdade 10 minutos a pé), fica, no entanto, localizado numa praceta muito tranquila mas a poucos minutos de shoppings e restaurantes, a museus e teatros, assim como um fácil acesso a todos os transportes públicos que o conectam à cidade Conte ainda com um Jardim fantástico, de uso exclusivo dos residentes deste magnifico Empreendimento. Para mais informações ou visitas, contacte-nos através dos telefones indicados Visite-nos em PRIMERESIDENCE. PT. INFORMAÇÃO LEGAL: - Licença de Habitação 198/UT-CML/2020 - Área Bruta Privativa 108m2.",True,good,False,True,23.076923076923077,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Apartamento na rua Sousa Pinto, 11'}",True,False,False,False,False,False,,False,2025-01-13,3000.0,0.0,False,True,True,0.0,3000.0
33896486,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b7/ab/34/271072786.webp,C0277-00710,24,,1250.0,flat,rent,40.0,2,1,São Vicente de Fora,Lisboa,São Vicente,São Vicente de Fora,pt,38.7141078,-9.1258662,False,https://www.idealista.pt/imovel/33896486/,2928.0,"Descubra este encantador e confortável apartamento T2 situado no coração do bairro de Alfama, perto do Panteão, com vistas deslumbrantes sobre o rio. Destaques da propriedade: 2 quartos (um quarto comunicante com o outro, sem acesso separado) Uma confortável sala de estar completa com uma grande mesa, sofá e cozinha totalmente equipada 1 banheiro Ambiente claro e ensolarado Vistas deslumbrantes sobre o rio de todas as janelas Apenas a 5 minutos a pé da estação de metro de Santa Apolónia Vários cafés, bares, restaurantes e o Rio Tejo nas proximidades Renda: 1250€ /mês + utilidades Viver em Alfama: Situado num dos bairros históricos de Lisboa, Alfama possui uma variedade de cafés, bares e restaurantes, todos próximos do Rio Tejo. Os transportes públicos são facilmente acessíveis, sendo que a estação de metro de Santa Apolónia fica apenas a 5 minutos a pé. Contacte-nos já para saber mais e agendar uma visita!",False,good,False,False,31.25,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,False,2025-01-13,1250.0,0.0,False,False,False,0.0,1250.0
33896468,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3a/7f/1c/271072242.webp,120511248-58,40,7,3650.0,flat,rent,190.0,4,3,alameda Dom Afonso Henriques,Lisboa,Arroios,São Jorge de Arroios,pt,38.7365774,-9.1371471,False,https://www.idealista.pt/imovel/33896468/,482.0,"T4 Alameda D Afonso Henriques | Arrenda Ao cimo da Alameda D. Afonso Henriques mesmo ao lado do Instituto Superior Técnico, junto à Av. Guerra Junqueiro, Praça de Londres, Av. de Roma, Av. Almirante Reis, Fonte Luminosa e o Colégio Sagrado Coração de Maria nas traseiras, encontra este magnifico apartamento de 6 assoalhadas, totalmente remodelado e pronto a habitar, cheio de luz natural e com vistas panorâmicas sobre a bela cidade de Lisboa e o rio Tejo.   Ampla sala comum com varanda e lareira Escitório com salamandra 2 Suites  2 quartos Cozinha completamente equipada com electrodomésticos Teka, grandes janelas com vista soberba. Chão em madeira, vidros duplos oscilo-batente, estores elécticos, ar condicionado, 2 despensas, imensa arrumação, porta de serviço. Box para um carro  No centro da cidade, com todos os transportes à porta de casa, muito bem servido de comércio tradicional e todos os serviços, escolas, colégios e universidades e zonas de lazer. Licença de utilização nº 120 emitida a 03 de Março de 1954 Condições de arrendamento: 2 rendas + 2 cauções com Fiador. Venha conhecer a sua nova casa! T4 Alameda D Afonso Henriques | RentAt the top of Alameda D. Afonso Henriques, right next to the Instituto Superior Técnico, next to Av. Guerra Junqueiro, London Square, Av. from Rome, Av. Almirante Reis, Fonte Luminosa and Colégio Sagrado Coração de Maria at the back, you will find this magnificent 6-room apartment, completely renovated and ready to move into, full of natural light and with panoramic views over the beautiful city of Lisbon and the Tagus River. Large living room with balcony and fireplaceOffice with wood burning stove2 Suites2 bedroomsFully equipped kitchen with Teka appliances, large windows with superb views. Wooden floor, tilting double glazing, electric shutters, air conditioning, 2 pantries, huge storage space, service door. Box for a carIn the city center, with all transportation on your doorstep, very well served by traditional commerce and all services, schools, colleges and universities and leisure areas. Usage License No. 120 issued March 3, 1954Rental conditions: 2 rents + 2 deposits with Guarantor. Come and see your new home!   Licença de Utilização - Nº.",False,good,False,True,19.210526315789473,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Apartamento na alameda Dom Afonso Henriques'}",False,False,False,False,False,False,Alameda - Praça do Chile - Almirante Reis,False,2025-01-13,3650.0,0.0,False,False,False,0.0,3650.0
33896319,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/65/0f/e4/271070960.webp,,34,5,3300.0,penthouse,rent,95.0,2,2,travessa de Santa Quitéria,Lisboa,Campo de Ourique,Largo do Rato - Estrela,pt,38.7178908,-9.1557978,False,https://www.idealista.pt/imovel/33896319/,2404.0,"Magnificent Furnished T2 Apartment with Full Air Conditioning, Terrace, and Stunning Views of Lisbon and the Tagus River This apartment, available for mid-term rental (1 to 12 months), is located just a stone’s throw from Jardim da Estrela, a 5-minute walk from Avenida da Liberdade, and just a few meters from bus stations. The property offers a living area of 88 m² and features a terrace adjacent to the living room and a covered balcony. The rooms are spacious and bright, with built-in wardrobes. The south-facing living room offers breathtaking views of Lisbon and the Tagus River! The apartment includes: - Bright living/dining room with terrace and a functional wood-burning stove - Open-plan kitchen, fully furnished and equipped - 1 suite with bathroom (shower) - 1 suite with bathroom and WC (shower and bathtub) 1 storage room Key Features and Details: - Panoramic views and quiet location - Double-glazed windows - High-quality bathroom materials - Fully air-conditioned - Terrace or balcony - Close to public transport - Reinforced security door - Residential outdoor parking Excellent Location: Close to major avenues and local shops, this property offers calm surroundings while being near all essential amenities within walking distance: - Shops, markets, cafés, restaurants, and supermarkets - Bus routes: 709, 713 (orange)(grey), 202, 758 (blue) - Nearby park: Jardim da Estrela - Underground parking If you are interested, please do not hesitate to contact us and provide your desired rental dates as well.",False,good,False,True,34.73684210526316,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'Penthouse na travessa de Santa Quitéria'}",False,False,False,False,False,False,,False,2025-01-13,3300.0,0.0,False,False,False,0.0,3300.0
33229363,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/aa/98/e1/236616879.webp,,11,st,1000.0,studio,rent,45.0,0,1,R. do Cabo,Lisboa,Campo de Ourique,Santa Isabel,pt,38.7173746,-9.1595806,False,https://www.idealista.pt/imovel/33229363/,2623.0,"Entre o Jardim da Estrela e as Amoreiras, entre o pitoresco Jardim da Estrela e a moderna Amoreiras, encontra este simpático e acolhedor Estúdio (T0) totalmente remodelado, equipado e mobilado com um pequeno jardim. Tudo isto no coração de Lisboa. Este apartamento é composto por um espaço de sala, área de quarto, com uma cozinha aberta integrada na sala e uma pequena zona com mesa para refeições. Conta com uma ótima casa de banho completa, com banheira e muito espaçosa. Localização Inigualável: - Apenas 600 metros do deslumbrante Jardim da Estrela, onde a tranquilidade da natureza encontra o pulsar da vida urbana. - A 650 metros da Estação de Metro do Rato, com ligação a toda a cidade (linha amarela). - A 650 metros do Amoreiras Shopping Center, onde encontra uma variedade de lojas, restaurantes e entretenimento.",False,good,False,False,22.22222222222222,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'T0 em R. do Cabo'}",False,False,False,False,False,False,,False,2025-01-13,1000.0,0.0,False,False,False,0.0,1000.0
33896359,https://img4.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/21/30/42/271070815.webp,C0409-01464,24,,1600.0,flat,rent,87.0,2,1,Fonte Nova -  Calhariz,Lisboa,Benfica,Fonte Nova -  Calhariz,pt,38.7484198,-9.1933372,False,https://www.idealista.pt/imovel/33896359/,4574.0,"Apartamento T2 mesmo em frente ao CC Fonte Nova, cheio de luz com ótimas áreas. Localizado num 5º andar em prédio com 2 elevadores, é constituído por 2 quartos com roupeiros embutidos. Caixilharia nova em PVC com vidros duplos. A sala tem uma boa área, a casa de banho conta com um poliban e a cozinha está equipada. À porta conta com todo o tipo de transportes, comércio e serviços. A 5 minutos a pé dispõe de todo o tipo de escolas; desde creches, primárias, como secundárias, bem como o metro do Colégio Militar, CC Colombo, Hospital da Luz, Estádio do Benfica, entre outros. Solicita-se para o arrendamento: Contrato de trabalho; 3 últimos recibos de vencimentos; IRS e Fiador  Na assinatura do contrato o pagamento de 2 rendas + 2 rendas de caução.",False,good,False,True,18.39080459770115,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Apartamento'}",False,False,False,False,False,False,,False,2025-01-13,1600.0,0.0,False,False,False,0.0,1600.0
